page_name,page_id,type
Buckinghamshire,55688,former_featured_articles
Cambodia,334751,former_featured_articles
Cape Horn,4460850,former_featured_articles
Cape Town,6653,former_featured_articles
Carlsbad Caverns National Park,9251893,former_featured_articles
Chaco Culture National Historical Park,925271,former_featured_articles
Chad,5488,former_featured_articles
Chadderton,441661,former_featured_articles
Cheadle Hulme,712240,former_featured_articles
Chennai,45139,former_featured_articles
"Chetwynd, British Columbia",2400823,former_featured_articles
Chew Valley,4047065,former_featured_articles
Chew Valley Lake,1106093,former_featured_articles
China,5405,former_featured_articles
Chinatown,38972,former_featured_articles
City status in the United Kingdom,70841,former_featured_articles
Colditz Castle,150272,former_featured_articles
Dawson Creek,682586,former_featured_articles
Delhi,37756,former_featured_articles
Detroit,8687,former_featured_articles
Dhaka,56656,former_featured_articles
Dogpatch USA,949411,former_featured_articles
Dundee,8828,former_featured_articles
East End of London,21221606,former_featured_articles
Éire,42965,former_featured_articles
El Hatillo Municipality,4471637,former_featured_articles
Enclave and exclave,4848945,former_featured_articles
"Erie, Pennsylvania",132482,former_featured_articles
Gangtok,1344726,former_featured_articles
Geography of India,14597,former_featured_articles
Gilwell Park,433310,former_featured_articles
Goa,40010153,former_featured_articles
Golden Gate Park,415576,former_featured_articles
"Grand Forks, North Dakota",128549,former_featured_articles
Greater Manchester,79819,former_featured_articles
Great Mosque of Djenné,705171,former_featured_articles
Gyeongju,426047,former_featured_articles
"Hamersley, Western Australia",671582,former_featured_articles
Herne Bay,337069,former_featured_articles
Historic counties of England,204971,former_featured_articles
Hong Kong,13404,former_featured_articles
Houston,13774,former_featured_articles
Indonesia,14579,former_featured_articles
Isan,203860,former_featured_articles
Isle of Portland,249601,former_featured_articles
Istanbul,3391396,former_featured_articles
Israel,9282173,former_featured_articles
Jerusalem,16043,former_featured_articles
Johannesburg,58893,former_featured_articles
Kalimpong,394056,former_featured_articles
Karnataka,16880,former_featured_articles
Kaziranga National Park,800083,former_featured_articles
Kerala,4349459,former_featured_articles
Kochi,56274,former_featured_articles
Kolkata,47905,former_featured_articles
Ladakh,303611,former_featured_articles
Larrys Creek,4211292,former_featured_articles
Lastovo,3303980,former_featured_articles
Libya,17633,former_featured_articles
"Louisville, Kentucky",58592,former_featured_articles
Mackinac Island,62480,former_featured_articles
Malwa,844184,former_featured_articles
Mangalore,308293,former_featured_articles
"Marshall, Texas",136027,former_featured_articles
Minnesota,19590,former_featured_articles
Montparnasse,62909,former_featured_articles
Moorgate,401419,former_featured_articles
Mount Rushmore,185973,former_featured_articles
Mount St. Helens,36649,former_featured_articles
Mount Tambora,152994,former_featured_articles
Mumbai,19189,former_featured_articles
Mysore,70023,former_featured_articles
Nepal,171166,former_featured_articles
Nathu La,1354151,former_featured_articles
National parks of England and Wales,44592,former_featured_articles
"Newark, New Jersey",67234,former_featured_articles
New York City,645042,former_featured_articles
Niagara Falls,52028,former_featured_articles
Oakland Cemetery (Atlanta),1558495,former_featured_articles
Oklahoma,22489,former_featured_articles
Oldham,179445,former_featured_articles
Pakistan,23235,former_featured_articles
Paulins Kill,2961180,former_featured_articles
Peru,170691,former_featured_articles
Peterborough,23906,former_featured_articles
Piccadilly Circus,229188,former_featured_articles
Principality of Sealand,28667,former_featured_articles
"Providence, Rhode Island",19356538,former_featured_articles
Provinces of Thailand,204637,former_featured_articles
Quneitra,1087034,former_featured_articles
Rondane National Park,539950,former_featured_articles
